file,title,license,license_url,attribution,source
darwin-wedgwood/Media/darwin-francis-portrait.jpg,Francis Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Darwin,Francis.jpg — Original uploader was Toth at [http://nl.wikipedia.org nl.wikipedia], Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Darwin%2CFrancis.jpg
darwin-wedgwood/Media/darwin-george-portrait.jpg,George Howard Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"George Darwin SI.jpg — J. Russell & Sons (Photographic company), Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:George_Darwin_SI.jpg
darwin-wedgwood/Media/darwin-gwen-raverat-portrait.jpg,Gwendolen Mary Raverat portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Ka Cox and friends.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Ka_Cox_and_friends.jpg
darwin-wedgwood/Media/darwin-henrietta-portrait.jpg,Henrietta Litchfield and William Darwin,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Henrietta Litchfield and William Darwin — Unknown photographer, English Wikipedia local free media, Public domain",https://en.wikipedia.org/wiki/File:Henrietta_Litchfield_and_William_Darwin.jpg
darwin-wedgwood/Media/darwin-horace-portrait.jpg,Horace Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Horace Darwin.jpg — Original uploader was Toth at [http://nl.wikipedia.org nl.wikipedia] (Original text : author unknown), Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Horace_Darwin.jpg
darwin-wedgwood/Media/darwin-jacques-raverat-portrait.jpg,Jacques Raverat with friends,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Jacques Raverat with friends — Unknown photographer, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Ka_Cox_and_friends.jpg
darwin-wedgwood/Media/darwin-josiah-i-portrait.jpg,Josiah Wedgwood I,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Josiah Wedgwood I — George Stubbs, Metropolitan Museum of Art / Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Josiah_Wedgwood_MET_148915.jpg
darwin-wedgwood/Media/darwin-josiah-ii-portrait.jpg,Josiah Wedgwood II portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Josiah Wedgwood II.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Josiah_Wedgwood_II.jpg
darwin-wedgwood/Media/darwin-leonard-portrait.jpg,Leonard Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Leonard Darwin.jpg — George Grantham Bain Collection (Library of Congress), Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Leonard_Darwin.jpg
darwin-wedgwood/Media/darwin-maud-dupuy-portrait.jpg,Maud Darwin,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Maud Darwin — Cecilia Beaux, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Maud_Darwin_by_Cecilia_Beaux_1889.jpg
